Species Code,Scientific Name,English Name,Completeness %,Temp Min (°C),Temp Max (°C),Temp Optimal Min,Temp Optimal Max,Temp Mean,Temp Source,Salinity Min (ppt),Salinity Max (ppt),Salinity Source,Depth Min (m),Depth Max (m),Depth Source,Substrate Types,Substrate Source,Bio Band UK,Bio Band Med,Bio Band Nordic,Regional Gates,Temperature Notes
wrb,Labrus bergylta,Ballan Wrasse,100,5,25,,,,fishbase_web_scrape,30,38,fishbase+obis,1,50,fishbase,"rock, weed",environmental_preferences,,,,,
bll,Scophthalmus rhombus,Brill,100,6,17,10,14,12,Marine Biology,30,38,fishbase+obis,5,50,fishbase,mixed,environmental_preferences,,,,,Temperate flatfish. Prefers 10-14°C. Similar to turbot but slightly warmer preference.
BUH,Scyliorhinus stellaris,Bull Huss,100,8,18,11,15,13,Marine Biology,30,38,fishbase+obis,1,400,fishbase,"rock, weed",environmental_preferences,,,,,Catshark species. Temperate waters 11-15°C. Common around UK.
cod,Gadus morhua,Cod (Coastal),100,0,15,,,,fishbase_web_scrape,5,38,fishbase+obis,0,50,species_table,"rock, weed",environmental_preferences,,,,,
CMB,Serranus cabrilla,Comber,100,12,22,15,19,17,Marine Biology/Mediterranean,30,38,fishbase+obis,5,500,fishbase,"rock, sand, mud, weed",environmental_preferences,,,,,Warm water species. Mediterranean and southern European waters 15-19°C.
lin,Molva molva,Common Ling,100,4,12,6,9,7.5,ICES/Marine Biology,30,38,fishbase+obis,100,1000,fishbase,mixed,environmental_preferences,,,,,Cold-temperate deep water species. Prefers 6-9°C.
CSH,Mustelus mustelus,Common Smoothhound,100,10,20,12,20,16,Marine Biology/Angler Data,30,38,fishbase+obis,5,624,fishbase,"mixed, sand",environmental_preferences,,,,,Temperate shark. 'Summer sharks' - appear as water warms (12-20°C). Feeding activity peaks in warmest months.
con,Conger conger,Conger Eel,100,10,22,13,18,15.5,Marine Biology,30,38,fishbase+obis,0,50,species_table,rock,environmental_preferences,,,,,"Temperate eel. Wide tolerance 10-22°C, prefers 13-18°C."
WRK,Symphodus melops,Corkwing Wrasse,100,8,18,11,15,13,Marine Biology,30,38,fishbase+obis,4,15,obis,"rock, weed",environmental_preferences,,,,,Temperate wrasse. Rocky shores 11-15°C.
wrc,Labrus mixtus,Cuckoo Wrasse,100,8,18,10,15,12.5,Marine Biology/Angler Data,30,38,fishbase+obis,2,200,fishbase,weed,environmental_preferences,,,,,Activity rises sharply with water warming >10-12°C; winter lethargy common. Not migratory but strongly temperature-modulated feeding.
dab,Limanda limanda,Dab,100,2,15,5,12,8.5,Marine Biology,30,38,fishbase+obis,20,150,fishbase,mixed,environmental_preferences,,,,,"Common flatfish in North Sea. Tolerates 2-15°C, prefers 5-12°C."
dex,Dentex dentex,Dentex,100,14,24,17,21,19,Mediterranean/Marine Biology,30,38,fishbase+obis,0,50,species_table,"rock, sand, weed",environmental_preferences,,,,,Warm water species. Mediterranean 17-21°C. Rare in northern waters.
sol,Solea solea,Dover Sole,100,8,24,,,,fishbase_web_scrape,5,38,fishbase+obis,0,50,species_table,sand,environmental_preferences,,,,,
fgm,Mugil cephalus,Flathead Grey Mullet,100,8,24,,,,fishbase_web_scrape,5,38,fishbase+obis,0,50,species_table,"rock, sand, mud",environmental_preferences,,,,,
fle,Platichthys flesus,Flounder,100,5,25,,,,fishbase_web_scrape,5,38,fishbase+obis,1,100,fishbase,mixed,environmental_preferences,,,,,
WRG,Ctenolabrus rupestris,Goldsinny Wrasse,100,7,18,10,14,12,Marine Biology,30,38,fishbase+obis,1,50,fishbase,"rock, weed",environmental_preferences,,,,,Cold-temperate wrasse. Northern European waters 10-14°C.
gaj,Seriola dumerili,Greater Amberjack,100,18,28,21,25,23,Tropical/Subtropical,30,38,fishbase+obis,1,360,fishbase,rock,environmental_preferences,,,,,Warm water pelagic species. Subtropical/tropical 21-25°C.
wee,Trachinus draco,Greater Weever,100,8,20,12,16,14,Marine Biology,30,38,fishbase+obis,1,150,fishbase,mixed,environmental_preferences,,,,,Temperate species. Common in European waters 12-16°C.
