Species,Regions,Best Time,Tide Sensitivity,Favourite Baits & Natural Diet,Effect of Temperature,Effect of Weather,Typical Distance/Depth,Edibility (/10),Restrictions/Notes,Trusted Authority (rules),Context
Sea Bass,"Atlantic, Mediterranean, North Sea",Dawn/dusk; warm months. Night over clean surf or estuary edges in summer.,Strong; best on flooding (mid–late flood) and first of the ebb around structure.,"Crab, rag/lugworm, sandeel, small fish; hunts sprats, prawns, shore crabs.",Active ≥12–13 °C; slows in cold spells; peak June–Oct in many regions.,Feeds after onshore blow that stirs crabs/sandeels; too much swell/silt reduces success.,"Surf lines, estuaries, rocky headlands; 1–10 m; often within casting range.",9,Bag limits & seasonal rules common; typical EU/UK MLS ~42 cm—verify locally.,"Check national authority (e.g., UK IFCA/MMO; Ireland SFPA; Spain MAPA; France OFB).",Shore
Sea Bass,"Atlantic, Mediterranean, North Sea",Dawn/dusk; warm months. Night over clean surf or estuary edges in summer.,Strong; best on flooding (mid–late flood) and first of the ebb around structure.,"Crab, rag/lugworm, sandeel, small fish; hunts sprats, prawns, shore crabs.",Active ≥12–13 °C; slows in cold spells; peak June–Oct in many regions.,Feeds after onshore blow that stirs crabs/sandeels; too much swell/silt reduces success.,Deeper reefs and wrecks 10–30 m offshore; drift fishing productive.,9,Bag limits & seasonal rules common; typical EU/UK MLS ~42 cm—verify locally.,"Check national authority (e.g., UK IFCA/MMO; Ireland SFPA; Spain MAPA; France OFB).",Boat
Mackerel,"Atlantic, North Sea, Baltic",Daylight when shoals are in; dawn/evening peaks in summer.,Low–moderate; moving water helps push bait inshore.,"Feathers/sabiki, small metals; eats sprats, sandeels, krill/zooplankton.",Surface‑oriented in warm seasons; moves offshore/deeper when cold.,"Stable, settled weather concentrates shoals; heavy swell scatters bait.",Shoals close to piers/headlands; mid‑water 5–20 m.,8,Local bag limits in places; observe pier/harbour rules.,"Local harbour by‑laws; national fisheries sites (e.g., UK IFCA/MMO; Ireland SFPA).",Shore
Mackerel,"Atlantic, North Sea, Baltic",Daylight when shoals are in; dawn/evening peaks in summer.,Low–moderate; moving water helps push bait inshore.,"Feathers/sabiki, small metals; eats sprats, sandeels, krill/zooplankton.",Surface‑oriented in warm seasons; moves offshore/deeper when cold.,"Stable, settled weather concentrates shoals; heavy swell scatters bait.",Offshore shoals mid‑water 20–60 m; trolling and drift feathers.,8,Local bag limits in places; observe pier/harbour rules.,"Local harbour by‑laws; national fisheries sites (e.g., UK IFCA/MMO; Ireland SFPA).",Boat
Horse Mackerel,"Atlantic, Mediterranean, North Sea",Dusk to night under lights; also at first light.,Low–moderate; harbour tides concentrate plankton.,"Fine sabiki, tiny metals; eats zooplankton, small fish/larvae.",More coastal in mild–warm water; drops deeper in cold.,"Clear, calm nights best; turbidity after storms reduces takes.","Harbours, piers, lights; mid‑water 5–50 m. (shore accessible range)",7,Few sport rules; size/bag may apply locally.,Port/harbour by‑laws; national fisheries agency.,Shore
Horse Mackerel,"Atlantic, Mediterranean, North Sea",Dusk to night under lights; also at first light.,Low–moderate; harbour tides concentrate plankton.,"Fine sabiki, tiny metals; eats zooplankton, small fish/larvae.",More coastal in mild–warm water; drops deeper in cold.,"Clear, calm nights best; turbidity after storms reduces takes.","Harbours, piers, lights; mid‑water 5–50 m. (boat marks deeper/offshore)",7,Few sport rules; size/bag may apply locally.,Port/harbour by‑laws; national fisheries agency.,Boat
Common Squid,"Atlantic, Mediterranean","Night with lights; peaks on dusk and first dark, autumn–winter many areas.",Moderate; prefers steady run rather than slack.,"Egi jigs; preys on small fish, prawns.",Most coastal in cool to mild seasons; heat drives them deeper.,Clear water & small swell best; post‑storm murk is poor.,From harbour walls to 5–30 m; over sand/weed beds. (shore accessible range),9,Local seasonal closures/limits may apply; respect harbour rules.,"Regional fisheries (e.g., Spain MAPA/CCAA; Italy MIPAAF; Portugal DGRM).",Shore
Common Squid,"Atlantic, Mediterranean","Night with lights; peaks on dusk and first dark, autumn–winter many areas.",Moderate; prefers steady run rather than slack.,"Egi jigs; preys on small fish, prawns.",Most coastal in cool to mild seasons; heat drives them deeper.,Clear water & small swell best; post‑storm murk is poor.,From harbour walls to 5–30 m; over sand/weed beds. (boat marks deeper/offshore),9,Local seasonal closures/limits may apply; respect harbour rules.,"Regional fisheries (e.g., Spain MAPA/CCAA; Italy MIPAAF; Portugal DGRM).",Boat
Conger Eel,"Atlantic, Mediterranean, English Channel",Night; over low‑light periods year‑round.,Low–moderate; prefers steady run around structure.,"Whole fish/squid, fish heads; ambush predator on fish/crustaceans.",Feeds across wide range; slightly better in mild water.,Unfazed by swell; dirty water fine if baits are scented.,"Harbour walls, rocky gullies; 5–30 m.",7,Handling care; some areas limit retention—check local laws.,UK IFCA/MMO; Ireland SFPA; France OFB; Spain MAPA.,Shore
Conger Eel,"Atlantic, Mediterranean, English Channel",Night; over low‑light periods year‑round.,Low–moderate; prefers steady run around structure.,"Whole fish/squid, fish heads; ambush predator on fish/crustaceans.",Feeds across wide range; slightly better in mild water.,Unfazed by swell; dirty water fine if baits are scented.,Deep wrecks/reefs 30–100 m.,7,Handling care; some areas limit retention—check local laws.,UK IFCA/MMO; Ireland SFPA; France OFB; Spain MAPA.,Boat
