Species,Playful Bio
Ballan Wrasse,"Always around daylight, especially on a flooding tide. Not into cold shoulders — only crab."
Black Seabream,"Catch me dawn/daylight. Big on group dates, especially with shellfish."
Brill,"Catch me dawn/dusk drifts over sandbanks and edges. Big on group dates, especially with whole sandeel."
Cod (Coastal),I’m most active low light and night; autumn–winter inshore peaks. Bring lug/ragworm and let’s make it a date.
Common Cuttlefish,Looking for someone who gets me night with lights; spring runs in many ports. Bonus points if you’ve got squid/cuttle jigs; also takes small
Common Ling,Always around dusk and dark; year-round over rough ground. Not into cold shoulders — only large fish baits.
Common Octopus,"Catch me night and low light; autumn–winter peaks in many areas. Big on group dates, especially with egi-style octopus jigs."
Common Squid,"Always around night with lights; peaks on dusk and first dark, autumn–winter many areas. Not into cold shoulders — only egi jigs; preys on s"
Conger Eel,Looking for someone who gets me night; over low‑light periods year‑round. Bonus points if you’ve got whole fish/squid.
Cuckoo Wrasse,Looking for someone who gets me daylight; over broken ground with kelp and boulders. Bonus points if you’ve got small crab and prawn baits; 
Dab,Always around daylight. Not into cold shoulders — only small worms.
Dentex,I’m most active daytime. Bring live fish and let’s make it a date.
Dover Sole,Looking for someone who gets me night/dusk. Bonus points if you’ve got worms.
Flathead Grey Mullet,Looking for someone who gets me dawn/evening; calm days. Bonus points if you’ve got bread.
Flounder,"Catch me dusk/night and daylight in murky water; autumn–winter strong. Big on group dates, especially with worms."
Garfish (Needlefish),Always around daylight & dusk in spring runs; also at night under lights. Not into cold shoulders — only small surface lures/float baits; ea
Gilthead Seabream,I’m most active dawn/dusk; warm months. Bring crabs and let’s make it a date.
Greater Amberjack,Looking for someone who gets me dawn and late afternoon; summer into autumn. Bonus points if you’ve got livebaits (mackerel.
Greater Weever,I’m most active sunny calm days over warm sand; also dusk. Bring small worms and prawn pieces; ambush predator on sand flats. and let’s make
Grey Mullet,I’m most active evening/dawn; sight‑feeding in daylight on calm days. Bring bread and let’s make it a date.
Haddock,I’m most active daylight and dusk; autumn–spring are strongest inshore. Bring worm baits and let’s make it a date.
Herring,"Catch me 𐄳 (bait fish) dusk/night; winter–spring runs in many areas. Big on group dates, especially with sabiki/small spoons; plankton/small"
Horse Mackerel,Love a moonlit dinner dusk to night under lights; also at first light. Just add fine sabiki.
John Dory,Always around daytime; dawn on reefs/wrecks. Not into cold shoulders — only livebaits/squid; predator on small fish..
Little Tunny,Looking for someone who gets me first light and late afternoon; active whenever bait showers on the surface. Bonus points if you’ve got fast
Mackerel,I’m most active daylight when shoals are in; dawn/evening peaks in summer. Bring feathers/sabiki and let’s make it a date.
Megrim,Always around daytime drifts. Not into cold shoulders — only small fish strips.
Parrotfish,"Love a moonlit dinner daylight; calm, clear days. Just add shellfish."
Plaice,Looking for someone who gets me daylight. Bonus points if you’ve got worms.
Pollack,Looking for someone who gets me dawn/dusk; overcast days with lures. Bonus points if you’ve got artificial lures (soft plastics.
Red Mullet,"Love a moonlit dinner daytime; dawn on calm, clear days. Just add small worms."
Red Seabream,"Catch me daytime. Big on group dates, especially with crabs."
Saithe (Pollachius virens),Always around dawn/dusk; overcast days fish well with lures. Not into cold shoulders — only metal jigs.
Saithe/Pollock,"Catch me dawn/dusk; overcast days with lures. Big on group dates, especially with metals."
Sand Eel,Love a moonlit dinner daylight and dusk when shoals move along the beach; night with lights in some harbours. Just add tiny sabiki or small 
Sardine,Always around 𐄳 (bait fish) night under lights; dawn when bait shoals push in. Not into cold shoulders — only tiny sabiki; plankton feeder..
Sea Bass,Always around dawn/dusk; warm months. Not into cold shoulders — only crab.
Sea Bream (Dorada),I’m most active dawn/dusk; warm months. Bring crab and let’s make it a date.
Sea Trout,"Love a moonlit dinner dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs. Just add spinners."
Small-spotted Catshark,I’m most active night. Bring smelly fish/squid baits; scavenger and let’s make it a date.
Spotted Bass,I’m most active dawn/dusk; warm months and at night over quiet beaches. Bring crabs and let’s make it a date.
Sprat,Looking for someone who gets me 𐄳 (bait fish) night under lights; winter harbours. Bonus points if you’ve got very fine sabiki; plankton fee
Thornback Ray,Always around dusk/night with moving tide. Not into cold shoulders — only whole squid.
Tub Gurnard,Always around daytime. Not into cold shoulders — only small fish.
Turbot (Small),Looking for someone who gets me dawn/dusk drifts over sandbanks. Bonus points if you’ve got whole sandeel.
Whiting,I’m most active night & low‑light; peaks in colder months inshore. Bring small strips of mackerel/squid and let’s make it a date.
Wrasse (various),"Love a moonlit dinner daylight, especially flood tide over kelp/rocks. Just add crab."
Hake, "Night owl over deep ground, smooth moves in the dark. Bring squid or small fish and I’m hooked."
Anchovy, "Tiny but social — love warm summer nights, nets and shimmering lights. Swipe right if you’re plankton-rich."
