slug,common_name,scientific_name,usda_min,usda_max,rhs_min,rhs_max,notes
amaranth-leaves,Amaranth leaves,Amaranthus tricolor,6,11,H1c,H1c,Frost-tender annual; sow under glass and plant out after last frost; dies at first frost
asparagus,Asparagus,Asparagus officinalis,3,8,H7,H7,Established crowns survive -20C; one of the hardiest vegetables grown in UK
aubergine,Aubergine / eggplant,Solanum melongena,7,12,H1c,H1c,Frost-tender; grown under glass in most of UK; outdoor crop only in warmest south with polytunnel
bean,Bean (Bush),Phaseolus vulgaris,3,10,H1c,H1c,Frost-tender annual; USDA min 3 reflects seed dormancy not plant hardiness; dies at first frost
beetroot,Beetroot,Beta vulgaris,3,9,H3,H3,Roots tolerate light frost; tops damaged below -3C; useful autumn/early-winter crop with fleece; not reliably overwintering in most UK
cowpea-blackeye,Black eyed peas / cowpeas,Vigna unguiculata subsp. unguiculata,7,11,H1c,H1c,Tropical crop; frost-tender; marginal even in warmest UK summers; glasshouse recommended
black-salsify,Black salsify,Scorzonera hispanica,4,8,H5,H5,Hardy root vegetable; roots can be left in ground through UK winter; improved by frost
broad-bean,Broad bean / fava bean,Vicia faba,3,8,H5,H6,Overwintering varieties (Aquadulce) reliably H6; spring-sown types H5; very frost-hardy
broccoli,Broccoli,Brassica oleracea var. italica,4,8,H5,H5,Frost-hardy brassica; stands through UK winter; purple sprouting types are H5-H6
brussels-sprout,Brussels sprouts,Brassica oleracea var. gemmifera,3,7,H5,H6,One of the hardiest brassicas; improves with hard frost; UK winter staple
onion-bulb,Bulb onion,Allium cepa,3,9,H5,H5,Hardy; sets and transplants survive UK winter; bulbs rot before they freeze
burdock-root,Burdock root (gobo),Arctium lappa,4,8,H5,H6,Very hardy biennial root; native UK hedgerow plant; roots overwinter reliably
lettuce-butterhead,Butterhead lettuce,Lactuca sativa var. capitata,3,10,H3,H3,Frost-tolerant to about -5C; winter varieties need fleece; not hard-frost hardy
cabbage,Cabbage,Brassica oleracea var. capitata,2,11,H5,H5,Hardy brassica; winter cabbages (January King etc.) survive hard UK winters reliably
cardoon,Cardoon,Cynara cardunculus,7,10,H3,H4,Hardy in sheltered coastal UK gardens (H4); needs mulch and fleece inland (H3); very ornamental
carrot,Carrot,Daucus carota subsp. sativus,3,9,H5,H5,Roots can be left in ground through UK winter; tops frost-tender but roots survive
cassava,Cassava,Manihot esculenta,9,13,H1a,H1b,Tropical; heated glasshouse only in UK; no outdoor use
cauliflower,Cauliflower,Brassica oleracea var. botrytis,4,8,H4,H5,Hardiness varies by type; summer cauliflowers H4; overwintering varieties (Walcheren) H5
celeriac,Celeriac,Apium graveolens var. rapaceum,3,8,H4,H4,Roots can be left in ground in mild UK winters with mulch; hardier than celery; lift before hard freeze
celery,Celery,Apium graveolens var. dulce,4,8,H3,H3,Frost-tender stems; self-blanching types especially vulnerable; trench celery slightly hardier; not reliable after first frost
chayote,Chayote,Sechium edule,8,11,H2,H2,Frost-tender; tubers may survive in very mild coastal gardens under thick mulch; tops die at any frost
tomato-cherry,Cherry tomato,Solanum lycopersicum,4,11,H1c,H1c,Frost-tender annual; same as all tomatoes; USDA min 4 reflects growth as annual not cold tolerance
chickpea,Chickpea,Cicer arietinum,6,10,H2,H2,Marginal UK crop; drought-tolerant not cold-tolerant; possible outdoors in warm south but glasshouse more reliable
pepper-chilli,Chilli pepper,Capsicum annuum,6,11,H1c,H1c,Frost-tender; grown under glass in UK; outdoor crop only in warmest south after last frost
chinese-cabbage,Chinese cabbage (Napa),Brassica rapa subsp. pekinensis,4,9,H4,H4,Frost-tolerant but bolts in cold; autumn/winter crop under cover or fleece; H4 with protection
