name_en,conservation_status,fun_fact
Sea Bass,IUCN: LC (global). North‑East Atlantic stocks tightly managed; observe local bag/season rules.,Roman elites farmed sea bass in coastal ponds; a VIP fish since antiquity.
Mackerel,IUCN: LC (global). North‑East Atlantic stocks fluctuate; follow local advice.,Their zebra stripes act like natural dazzle-camouflage against predators.
Horse Mackerel,IUCN: LC (global). Some regional quotas/size limits.,"Called “scad” in old English; long dismissed, now loved as carapau in Portugal."
Common Squid,IUCN: Not evaluated globally; widely fished—local seasons/limits apply.,Sepia ink was used as writing dye in Europe for centuries.
Conger Eel,IUCN: LC (global). Slow‑growing; handle and release large breeders where possible.,Britain’s record shore fish is a giant conger—over 130 lb.
Red Mullet,IUCN: LC (global). Regional size limits common.,Romans displayed them alive at banquets before serving.
Sea Bream (Dorada),IUCN: LC (global). Heavily managed in the Med; observe bag and size limits.,The ‘gilt-head’ name comes from the golden band between the eyes.
Garfish (Needlefish),IUCN: LC (global). Few formal restrictions; local rules may apply.,Its bones are green—thanks to bile pigments—spooking diners for ages.
Wrasse (various),Generally LC; local protections where used for aquaculture—check regional guidance.,"Norse tales said wrasse nibbled the nails of drowned sailors (grim, but memorable)."
Grey Mullet,IUCN: LC (many species). Urban stocks can be impacted; check local advisories.,"Painted on Egyptian tomb walls—4,000 years of mullet culture."
Cod (Coastal),IUCN: VU (global). Many areas have strong restrictions/closures—check locally.,Medieval Europe ran on dried cod (stockfish) traded by the Hanseatic League.
Whiting,IUCN: LC (global). Regional management applies.,Victorian cooks dubbed it the “chicken of the sea.”
Saithe/Pollock,IUCN: LC (global). Healthy in many northern areas; size/bag limits vary.,Sold as ‘Seelachs’ in Germany—‘sea salmon’ despite zero salmon DNA.
Flounder,IUCN: LC (global). Estuary protections in some regions.,Can live in nearly fresh water and wander far upriver.
Sardine,IUCN: LC (global). Some regional stock variability; heed local limits.,Likely gave its name to Sardinia—historic hotbed of sardine fishing.
Herring,IUCN: LC (global). Highly managed with seasonal closures in many areas.,The ‘silver darlings’ once powered whole coastal economies.
Sprat,IUCN: LC (global). Seasonal/area closures occur—check locally.,Gave rise to the phrase ‘a sprat to catch a mackerel.’
John Dory,IUCN: LC (global). Often taken as bycatch; local MLS may apply.,Folklore says St Peter’s thumbprint marks its side.
Turbot (Small),IUCN: LC (global). Strict MLS and protections; release undersized fish.,A royal favourite—Vikings even paid tribute in turbot.
Sea Trout,IUCN: LC (species). Wild runs locally vulnerable—check river/sea‑area rules.,"Irish lore calls it the ‘white trout’, an enchanted salmon."
Pollack,IUCN: LC (global). Inshore stocks pressured in some regions; consider releasing big fish.,Can hang so tight to kelp that divers mistake them for shadows.
Plaice,IUCN: LC (global). Regionally managed; observe size/season rules.,Those orange spots? Likely a fashion statement: they help camouflage on speckled sand.
Dab,IUCN: LC (global). Widespread; often small—return undersized.,Often the most abundant flatfish—Victorians sold ‘dab pie’ by the slice.
Dover Sole,IUCN: LC (global). Managed with size/season/gear rules.,Famous for delicate flavour; the ‘Dover’ tag comes from the port that shipped them to London fresh.
Thornback Ray,IUCN: NT or LC region‑dependent. Slow‑growing—support release schemes.,Males ‘drum’ with their spiracles—underwater love songs.
Small-spotted Catshark,IUCN: LC (global). Common locally; many anglers release.,Can rest in piles like sleepy puppies under ledges.
Gilthead Seabream,IUCN: LC (global). Aquaculture common; wild stocks locally managed.,Farmed widely in the Med since the 1980s boom in aquaculture.
Red Seabream,IUCN: LC (global). Regional declines noted; follow bag/size rules.,"In Spain it’s ‘besugo’, a Christmas feast fish in some regions."
Black Seabream,IUCN: LC (global). Spawning aggregations sensitive—respect protections.,Form big spring spawning shoals—hence seasonal protections.
Dentex,IUCN: LC (global). Large breeding fish important—consider release.,Mediterranean spearfishers whisper about its legendary wariness.
Flathead Grey Mullet,IUCN: LC (global). Estuary water quality can affect stocks.,"Despite humble looks, prized as ‘mugil’ bottarga (cured roe) in the Med."
Tub Gurnard,IUCN: LC (global). Generally stable; check local MLS.,‘Walks’ the seabed on fin rays while drumming audibly—a noisy neighbour.
Haddock,IUCN: LC (global). North Sea stock managed; follow local retention rules.,The dark ‘Devil’s thumbprint’ mark is a fishy folk tale classic.
Saithe (Pollachius virens),IUCN: LC (global). Generally healthy in the NE Atlantic; observe local limits.,Nickname ‘coal-fish’ for its dark back; youngsters can glow faintly in plankton at night.
Common Ling,IUCN: LC (global). Slow‑growing; release big breeders where possible.,Dried ling skin was used as tough boot leather in medieval Europe.
Ballan Wrasse,IUCN: LC (global). Local protections where used as cleaner fish—check rules.,Modern day ‘cleaner fish’ that picks parasites off farmed salmon.
Cuckoo Wrasse,IUCN: LC (global). Brightly coloured—handle carefully; local protections possible.,Males turn electric blue and orange in breeding season—flashy!
Greater Amberjack,IUCN: LC (global). Highly prized; size/bag limits vary by country.,Name nods to the glowing amber stripe along its flank.
Parrotfish,IUCN: LC (regional Mediterranean species). Check local protections.,Their ground-up coral ‘sand’ literally helps build beaches.
Common Octopus,IUCN: LC (global). Seasonal limits and gear rules are common—check locally.,Clever escape artists—can unscrew jars and walk briefly on land.
Common Cuttlefish,IUCN: LC (global). Seasonal protections frequent around ports/estuaries.,Sepia ink gets its name from cuttlefish; artists loved the tone.
Spotted Bass,IUCN: LC (global). Often shares protections with European sea bass.,Easily mistaken for young sea bass—spot pattern gives it away.
Little Tunny,IUCN: LC (global). Pelagic rules apply; some areas require release/logbooks.,Anglers sometimes kept its marbled stomach lining as lucky charms.
Brill,IUCN: LC (global). Size/season rules vary—release undersized.,"Name comes from Old Norse ‘bryllr’, meaning speckled."
Megrim,IUCN: LC (global). Regionally managed; check local MLS.,Known as ‘gallo’ in Spain—common on Galician menus.
Greater Weever,IUCN: LC (global). Venomous spines—handle with care; generally not restricted.,Venomous spines gave rise to ‘wear shoes on the beach’ warnings.
Sand Eel,IUCN: LC (global). Key forage species; local netting/livebait rules apply.,Not eels at all—burrowing fish that underpin North Sea food webs.
