Species,Regions,Best Time,Tide Sensitivity,Favourite Baits & Natural Diet,Effect of Temperature,Effect of Weather,Typical Distance/Depth,Edibility (/10),Restrictions/Notes,Trusted Authority (rules)
Sea Bass,"Atlantic, Mediterranean, North Sea",Dawn/dusk; warm months. Night over clean surf or estuary edges in summer.,Strong; best on flooding (mid–late flood) and first of the ebb around structure.,"Crab, rag/lugworm, sandeel, small fish; hunts sprats, prawns, shore crabs.",Active ≥12–13 °C; slows in cold spells; peak June–Oct in many regions.,Feeds after onshore blow that stirs crabs/sandeels; too much swell/silt reduces success.,Surf lines and rocky heads 0–150 m from shore; 1–20 m depth (deeper in winter).,9,Bag limits & seasonal rules common; typical EU/UK MLS ~42 cm—verify locally.,"Check national authority (e.g., UK IFCA/MMO; Ireland SFPA; Spain MAPA; France OFB)."
Mackerel,"Atlantic, North Sea, Baltic",Daylight when shoals are in; dawn/evening peaks in summer.,Low–moderate; moving water helps push bait inshore.,"Feathers/sabiki, small metals; eats sprats, sandeels, krill/zooplankton.",Surface‑oriented in warm seasons; moves offshore/deeper when cold.,"Stable, settled weather concentrates shoals; heavy swell scatters bait.",Mid‑water shoals 5–60 m; piers/headlands to offshore banks.,8,Local bag limits in places; observe pier/harbour rules.,"Local harbour by‑laws; national fisheries sites (e.g., UK IFCA/MMO; Ireland SFPA)."
Horse Mackerel,"Atlantic, Mediterranean, North Sea",Dusk to night under lights; also at first light.,Low–moderate; harbour tides concentrate plankton.,"Fine sabiki, tiny metals; eats zooplankton, small fish/larvae.",More coastal in mild–warm water; drops deeper in cold.,"Clear, calm nights best; turbidity after storms reduces takes.","Harbours, piers, lights; mid‑water 5–50 m.",7,Few sport rules; size/bag may apply locally.,Port/harbour by‑laws; national fisheries agency.
Common Squid,"Atlantic, Mediterranean","Night with lights; peaks on dusk and first dark, autumn–winter many areas.",Moderate; prefers steady run rather than slack.,"Egi jigs; preys on small fish, prawns.",Most coastal in cool to mild seasons; heat drives them deeper.,Clear water & small swell best; post‑storm murk is poor.,From harbour walls to 5–30 m; over sand/weed beds.,9,Local seasonal closures/limits may apply; respect harbour rules.,"Regional fisheries (e.g., Spain MAPA/CCAA; Italy MIPAAF; Portugal DGRM)."
Conger Eel,"Atlantic, Mediterranean, English Channel",Night; over low‑light periods year‑round.,Low–moderate; prefers steady run around structure.,"Whole fish/squid, fish heads; ambush predator on fish/crustaceans.",Feeds across wide range; slightly better in mild water.,Unfazed by swell; dirty water fine if baits are scented.,"Rock holes, piers, wrecks; 5–50 m (deeper offshore).",7,Handling care; some areas limit retention—check local laws.,UK IFCA/MMO; Ireland SFPA; France OFB; Spain MAPA.
Red Mullet,"Mediterranean, Bay of Biscay","Daytime; dawn on calm, clear days.",Moderate; flooding tide over clean sand best.,"Small worms, shrimps; uses barbels to root crustaceans.",Warm‑water preference; summer–autumn peak.,"Settled, clear water ideal; heavy swell suppresses feeding.",Sandy/muddy bays 5–50 m; often close in.,9,Minimum sizes common; verify locally.,Spain MAPA/CCAA; France OFB; Portugal DGRM.
Sea Bream (Dorada),"Mediterranean, Southern Atlantic",Dawn/dusk; warm months. Night over beaches/estuaries.,Strong; mid‑flood around bars/holes excellent.,"Crab, prawn, mussel; cracks shellfish with strong molars.",Prefers ≥15 °C; sluggish in cold snaps.,Light onshore chop good; heavy surf reduces bites.,Beaches/estuaries/rocky reefs; 2–30 m.,9,Common MLS & bag limits; check local regs.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.
Garfish (Needlefish),"Atlantic, North Sea, Baltic",Daylight & dusk in spring runs; also at night under lights.,Low–moderate; moving surface water helpful.,Small surface lures/float baits; eats sprats/sandeels.,Arrives with warming water in spring–summer.,Calm/clear or slight chop best; big swell poor for floats.,Surface layers 0–5 m; close to piers/headlands.,6,Few restrictions; sharp beak—handle with care.,National fisheries agency/harbour by‑laws.
Wrasse (various),"Atlantic, North Sea, Mediterranean","Daylight, especially flood tide over kelp/rocks.",Moderate; feeds as crabs/prawns move with tide.,"Crab, prawn, shellfish; picks in kelp/rock crevices.",Best in mild–warm water; lethargic in winter.,Clear water preferable; heavy swell pushes them tight to cover.,Rocky kelp ground 2–20 m; very close to shore.,6,Conservation measures in some regions (wrasse for aquaculture); many anglers practise C&R.,"Regional conservation/fisheries bodies (e.g., UK IFCAs; Norway Fiskeridirektoratet)."
Grey Mullet,"Atlantic, Mediterranean",Evening/dawn; sight‑feeding in daylight on calm days.,Strong in estuaries on flood; slack water sight‑polaroiding works.,"Bread, tiny worms, harbour detritus; filter‑grazer.",Best in mild–warm months; cold snaps shut them down.,After rain/run‑off they graze hard in estuaries; strong winds spook shoals.,"Harbours, marinas, surf edges; 0–10 m.",7,Local restrictions possible; avoid polluted harbours for consumption.,Municipal/port by‑laws; national fisheries sites.
