Species,Short Bio
Ballan Wrasse,"Ballan Wrasse: Daylight, especially on a flooding tide. Loves crab. Modern day ‘cleaner fish’ that picks parasites off farmed salmon."
Black Seabream,Black Seabream: Dawn/daylight. Loves shellfish. Form big spring spawning shoals—hence seasonal protections.
Brill,"Brill: Dawn/dusk drifts over sandbanks and edges. Loves whole sandeel. Name comes from Old Norse ‘bryllr’, meaning speckled."
Cod (Coastal),Cod (Coastal): Low light and night; autumn–winter inshore peaks. Loves lug/ragworm. Medieval Europe ran on dried cod (stockfish) traded by t
Common Cuttlefish,Common Cuttlefish: Night with lights; spring runs in many ports. Loves squid/cuttle jigs; also takes small fish and prawns.. Sepia ink gets 
Common Ling,Common Ling: Dusk and dark; year-round over rough ground. Loves large fish baits. Dried ling skin was used as tough boot leather in medieval
Common Octopus,Common Octopus: Night and low light; autumn–winter peaks in many areas. Loves egi-style octopus jigs. Clever escape artists—can unscrew jars
Common Squid,"Common Squid: Night with lights; peaks on dusk and first dark, autumn–winter many areas. Loves egi jigs; preys on small fish. Sepia ink was "
Conger Eel,Conger Eel: Night; over low‑light periods year‑round. Loves whole fish/squid. Britain’s record shore fish is a giant conger—over 130 lb.
Cuckoo Wrasse,Cuckoo Wrasse: Daylight; over broken ground with kelp and boulders. Loves small crab and prawn baits; also takes small lures.. Males turn el
Dab,Dab: Daylight. Loves small worms. Often the most abundant flatfish—Victorians sold ‘dab pie’ by the slice.
Dentex,Dentex: Daytime. Loves live fish. Mediterranean spearfishers whisper about its legendary wariness.
Dover Sole,Dover Sole: Night/dusk. Loves worms. Famous for delicate flavour; the ‘Dover’ tag comes from the port that shipped them to London fresh.
Flathead Grey Mullet,"Flathead Grey Mullet: Dawn/evening; calm days. Loves bread. Despite humble looks, prized as ‘mugil’ bottarga (cured roe) in the Med."
Flounder,Flounder: Dusk/night and daylight in murky water; autumn–winter strong. Loves worms. Can live in nearly fresh water and wander far upriver.
Garfish (Needlefish),Garfish (Needlefish): Daylight & dusk in spring runs; also at night under lights. Loves small surface lures/float baits; eats sprats/sandeel
Gilthead Seabream,Gilthead Seabream: Dawn/dusk; warm months. Loves crabs. Farmed widely in the Med since the 1980s boom in aquaculture.
Greater Amberjack,Greater Amberjack: Dawn and late afternoon; summer into autumn. Loves livebaits (mackerel. Name nods to the glowing amber stripe along its f
Greater Weever,Greater Weever: Sunny calm days over warm sand; also dusk. Loves small worms and prawn pieces; ambush predator on sand flats.. Venomous spin
Grey Mullet,"Grey Mullet: Evening/dawn; sight‑feeding in daylight on calm days. Loves bread. Painted on Egyptian tomb walls—4,000 years of mullet culture"
Haddock,Haddock: Daylight and dusk; autumn–spring are strongest inshore. Loves worm baits. The dark ‘Devil’s thumbprint’ mark is a fishy folk tale c
Herring,Herring: 𐄳 (Bait fish) Dusk/night; winter–spring runs in many areas. Loves sabiki/small spoons; plankton/small fish.. The ‘silver darlings’ 
Horse Mackerel,"Horse Mackerel: Dusk to night under lights; also at first light. Loves fine sabiki. Called “scad” in old English; long dismissed, now loved "
John Dory,John Dory: Daytime; dawn on reefs/wrecks. Loves livebaits/squid; predator on small fish.. Folklore says St Peter’s thumbprint marks its side
Little Tunny,Little Tunny: First light and late afternoon; active whenever bait showers on the surface. Loves fast metals. Anglers sometimes kept its mar
Mackerel,Mackerel: Daylight when shoals are in; dawn/evening peaks in summer. Loves feathers/sabiki. Their zebra stripes act like natural dazzle-camo
Megrim,Megrim: Daytime drifts. Loves small fish strips. Known as ‘gallo’ in Spain—common on Galician menus.
Parrotfish,"Parrotfish: Daylight; calm, clear days. Loves shellfish. Their ground-up coral ‘sand’ literally helps build beaches."
