Species,Tight Playful Bio
Ballan Wrasse,"Catch me daylight, especially on a flooding tide. Always hungry — swipe right if you’ve got crab."
Black Seabream,Catch me dawn/daylight. Always hungry — swipe right if you’ve got shellfish.
Brill,Catch me dawn/dusk drifts over sandbanks and edges. Love a moonlit dinner. Just add whole sandeel.
Cod (Coastal),Catch me low light and night; autumn–winter inshore peaks. Bring lug/ragworm and I’m yours.
Common Cuttlefish,Catch me night with lights; spring runs in many ports. Always hungry — swipe right if you’ve got squid/cuttle jigs; also takes small fish an
Common Ling,"Catch me dusk and dark; year-round over rough ground. Big on group dates, especially if you’ve got large fish baits."
Common Octopus,Catch me night and low light; autumn–winter peaks in many areas. Let’s keep it casual — egi-style octopus jigs and a tide change is enough.
Common Squid,"Catch me night with lights; peaks on dusk and first dark, autumn–winter many areas. Catch me if you can. Best with egi jigs; preys on small "
Conger Eel,Catch me night; over low‑light periods year‑round. Let’s keep it casual — whole fish/squid and a tide change is enough.
Cuckoo Wrasse,Catch me daylight; over broken ground with kelp and boulders. Always hungry — swipe right if you’ve got small crab and prawn baits; also tak
Dab,"Catch me daylight. Big on group dates, especially if you’ve got small worms."
Dentex,Catch me daytime. Let’s keep it casual — live fish and a tide change is enough.
Dover Sole,Catch me night/dusk. Always hungry — swipe right if you’ve got worms.
Flathead Grey Mullet,"Catch me dawn/evening; calm days. I love a good chase, especially if it ends with bread."
Flounder,Catch me dusk/night and daylight in murky water; autumn–winter strong. Let’s keep it casual — worms and a tide change is enough.
Garfish (Needlefish),"Catch me daylight & dusk in spring runs; also at night under lights. Not into small talk, only small surface lures/float baits; eats sprats/"
Gilthead Seabream,Catch me dawn/dusk; warm months. Always hungry — swipe right if you’ve got crabs.
Greater Amberjack,Catch me dawn and late afternoon; summer into autumn. Into long nights and short flings — livebaits (mackerel works every time.
Greater Weever,Catch me sunny calm days over warm sand; also dusk. Catch me if you can. Best with small worms and prawn pieces; ambush predator on sand fla
Grey Mullet,Catch me evening/dawn; sight‑feeding in daylight on calm days. Into long nights and short flings — bread works every time.
Haddock,"Catch me daylight and dusk; autumn–spring are strongest inshore. Big on group dates, especially if you’ve got worm baits."
Herring,Catch me 𐄳 (bait fish) dusk/night; winter–spring runs in many areas. Into long nights and short flings — sabiki/small spoons; plankton/small
Horse Mackerel,Catch me dusk to night under lights; also at first light. Let’s keep it casual — fine sabiki and a tide change is enough.
John Dory,Catch me daytime; dawn on reefs/wrecks. Bonus points if you bring livebaits/squid; predator on small fish..
Little Tunny,Catch me first light and late afternoon; active whenever bait showers on the surface. Bring fast metals and I’m yours.
Mackerel,Catch me daylight when shoals are in; dawn/evening peaks in summer. Catch me if you can. Best with feathers/sabiki.
Megrim,Catch me daytime drifts. Love a moonlit dinner. Just add small fish strips.
Parrotfish,"Catch me daylight; calm, clear days. Let’s keep it casual — shellfish and a tide change is enough."
Plaice,Catch me daylight. Into long nights and short flings — worms works every time.
Pollack,Catch me dawn/dusk; overcast days with lures. Bring artificial lures (soft plastics and I’m yours.
Red Mullet,"Catch me daytime; dawn on calm, clear days. Let’s keep it casual — small worms and a tide change is enough."
Red Seabream,Catch me daytime. Always hungry — swipe right if you’ve got crabs.
Saithe (Pollachius virens),Catch me dawn/dusk; overcast days fish well with lures. Always hungry — swipe right if you’ve got metal jigs.
Saithe/Pollock,"Catch me dawn/dusk; overcast days with lures. Big on group dates, especially if you’ve got metals."
Sand Eel,Catch me daylight and dusk when shoals move along the beach; night with lights in some harbours. Bring tiny sabiki or small hooks; feeds on 
Sardine,Catch me 𐄳 (bait fish) night under lights; dawn when bait shoals push in. Into long nights and short flings — tiny sabiki; plankton feeder. 
Sea Bass,"Catch me dawn/dusk; warm months. I love a good chase, especially if it ends with crab."
Sea Bream (Dorada),"Catch me dawn/dusk; warm months. Not into small talk, only crab."
Sea Trout,"Catch me dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs. Let’s keep it casual — spinners and a tide change is eno"
Small-spotted Catshark,Catch me night. Love a moonlit dinner. Just add smelly fish/squid baits; scavenger.
Spotted Bass,Catch me dawn/dusk; warm months and at night over quiet beaches. Bring crabs and I’m yours.
Sprat,Catch me 𐄳 (bait fish) night under lights; winter harbours. Bring very fine sabiki; plankton feeder. and I’m yours.
Thornback Ray,Catch me dusk/night with moving tide. Catch me if you can. Best with whole squid.
Tub Gurnard,Catch me daytime. Catch me if you can. Best with small fish.
Turbot (Small),Catch me dawn/dusk drifts over sandbanks. Into long nights and short flings — whole sandeel works every time.
Whiting,"Catch me night & low‑light; peaks in colder months inshore. Not into small talk, only small strips of mackerel/squid."
Wrasse (various),"Catch me daylight, especially flood tide over kelp/rocks. I love a good chase, especially if it ends with crab."
