Species,Cheeky Bio,Short Bio
Ballan Wrasse,"Ballan Wrasse: Daylight, especially on a flooding tide. Loves crab, prawn, shellfish; raids crevices and kelp fronds.. Fun fact: Modern day ‘cleaner fish’ that picks parasites off farmed salmon.","Ballan Wrasse: Daylight, especially on a flooding tide. Loves crab. Modern day ‘cleaner fish’ that picks parasites off farmed salmon."
Black Seabream,"Black Seabream: Dawn/daylight. Loves shellfish, worms, squid; omnivore. Fun fact: Form big spring spawning shoals—hence seasonal protections.",Black Seabream: Dawn/daylight. Loves shellfish. Form big spring spawning shoals—hence seasonal protections.
Brill,"Brill: Dawn/dusk drifts over sandbanks and edges. Loves whole sandeel, fish strips; ambush predator on clean ground.. Fun fact: Name comes from Old Norse ‘bryllr’, meaning speckled.","Brill: Dawn/dusk drifts over sandbanks and edges. Loves whole sandeel. Name comes from Old Norse ‘bryllr’, meaning speckled."
Cod (Coastal),"Cod (Coastal): Low light and night; autumn–winter inshore peaks. Loves lug/ragworm, squid, crab, fish baits; eats crabs, fish, shellfish.. Fun fact: Medieval Europe ran on dried cod (stockfish) traded by the Hanseatic League.",Cod (Coastal): Low light and night; autumn–winter inshore peaks. Loves lug/ragworm. Medieval Europe ran on dried cod (stockfish) traded by t
Common Cuttlefish,Common Cuttlefish: Night with lights; spring runs in many ports. Loves squid/cuttle jigs; also takes small fish and prawns.. Fun fact: Sepia ink gets its name from cuttlefish; artists loved the tone.,Common Cuttlefish: Night with lights; spring runs in many ports. Loves squid/cuttle jigs; also takes small fish and prawns.. Sepia ink gets 
Common Ling,"Common Ling: Dusk and dark; year-round over rough ground. Loves large fish baits, squid, cuttle; scavenger-predator among rocks and wrecks.. Fun fact: Dried ling skin was used as tough boot leather in medieval Europe.",Common Ling: Dusk and dark; year-round over rough ground. Loves large fish baits. Dried ling skin was used as tough boot leather in medieval
Common Octopus,"Common Octopus: Night and low light; autumn–winter peaks in many areas. Loves egi-style octopus jigs, fish/squid baits; hunts crabs, shellfish and small fish.. Fun fact: Clever escape artists—can unscrew jars and walk briefly on land.",Common Octopus: Night and low light; autumn–winter peaks in many areas. Loves egi-style octopus jigs. Clever escape artists—can unscrew jars
Common Squid,"Common Squid: Night with lights; peaks on dusk and first dark, autumn–winter many areas. Loves egi jigs; preys on small fish, prawns.. Fun fact: Sepia ink was used as writing dye in Europe for centuries.","Common Squid: Night with lights; peaks on dusk and first dark, autumn–winter many areas. Loves egi jigs; preys on small fish. Sepia ink was "
Conger Eel,"Conger Eel: Night; over low‑light periods year‑round. Loves whole fish/squid, fish heads; ambush predator on fish/crustaceans.. Fun fact: Britain’s record shore fish is a giant conger—over 130 lb.",Conger Eel: Night; over low‑light periods year‑round. Loves whole fish/squid. Britain’s record shore fish is a giant conger—over 130 lb.
Cuckoo Wrasse,Cuckoo Wrasse: Daylight; over broken ground with kelp and boulders. Loves small crab and prawn baits; also takes small lures.. Fun fact: Males turn electric blue and orange in breeding season—flashy!,Cuckoo Wrasse: Daylight; over broken ground with kelp and boulders. Loves small crab and prawn baits; also takes small lures.. Males turn el
Dab,"Dab: Daylight. Loves small worms, shrimps; bottom feeder. Fun fact: Often the most abundant flatfish—Victorians sold ‘dab pie’ by the slice.",Dab: Daylight. Loves small worms. Often the most abundant flatfish—Victorians sold ‘dab pie’ by the slice.
Dentex,"Dentex: Daytime. Loves live fish, squid; predatory. Fun fact: Mediterranean spearfishers whisper about its legendary wariness.",Dentex: Daytime. Loves live fish. Mediterranean spearfishers whisper about its legendary wariness.
Dover Sole,"Dover Sole: Night/dusk. Loves worms, ragworm, small crab; bottom-feeder. Fun fact: Famous for delicate flavour; the ‘Dover’ tag comes from the port that shipped them to London fresh.",Dover Sole: Night/dusk. Loves worms. Famous for delicate flavour; the ‘Dover’ tag comes from the port that shipped them to London fresh.
Flathead Grey Mullet,"Flathead Grey Mullet: Dawn/evening; calm days. Loves bread, algae, harbour detritus; filter feeder. Fun fact: Despite humble looks, prized as ‘mugil’ bottarga (cured roe) in the Med.","Flathead Grey Mullet: Dawn/evening; calm days. Loves bread. Despite humble looks, prized as ‘mugil’ bottarga (cured roe) in the Med."
