Species,Tinder Bio (No Name)
Ballan Wrasse,"Can’t resist crab and I’m easiest to find daylight, especially on a flooding tide."
Black Seabream,Catch me dawn/daylight. I go wild for shellfish.
Brill,Can’t resist whole sandeel and I’m easiest to find dawn/dusk drifts over sandbanks and edges.
Cod (Coastal),Can’t resist lug/ragworm and I’m easiest to find low light and night; autumn–winter inshore peaks.
Common Cuttlefish,Can’t resist squid/cuttle jigs; also takes small fish and prawns. and I’m easiest to find night with lights; spring runs in many ports.
Common Ling,"Into large fish baits, and I shine brightest dusk and dark; year-round over rough ground."
Common Octopus,"Into egi-style octopus jigs, and I shine brightest night and low light; autumn–winter peaks in many areas."
Common Squid,"Catch me night with lights; peaks on dusk and first dark, autumn–winter many areas. I go wild for egi jigs; preys on small fish."
Conger Eel,Can’t resist whole fish/squid and I’m easiest to find night; over low‑light periods year‑round.
Cuckoo Wrasse,Catch me daylight; over broken ground with kelp and boulders. I go wild for small crab and prawn baits; also takes small lures..
Dab,I’m most active daylight. Feed me small worms and we’re a match.
Dentex,I’m most active daytime. Feed me live fish and we’re a match.
Dover Sole,"Into worms, and I shine brightest night/dusk."
Flathead Grey Mullet,Can’t resist bread and I’m easiest to find dawn/evening; calm days.
Flounder,I’m most active dusk/night and daylight in murky water; autumn–winter strong. Feed me worms and we’re a match.
Garfish (Needlefish),Always around daylight & dusk in spring runs; also at night under lights. Swipe right if you’ve got small surface lures/float baits; eats sp
Gilthead Seabream,Can’t resist crabs and I’m easiest to find dawn/dusk; warm months.
Greater Amberjack,Can’t resist livebaits (mackerel and I’m easiest to find dawn and late afternoon; summer into autumn.
Greater Weever,I’m most active sunny calm days over warm sand; also dusk. Feed me small worms and prawn pieces; ambush predator on sand flats. and we’re a 
Grey Mullet,Always around evening/dawn; sight‑feeding in daylight on calm days. Swipe right if you’ve got bread.
Haddock,Can’t resist worm baits and I’m easiest to find daylight and dusk; autumn–spring are strongest inshore.
Herring,"Into sabiki/small spoons; plankton/small fish., and I shine brightest 𐄳 (bait fish) dusk/night; winter–spring runs in many areas."
Horse Mackerel,"Into fine sabiki, and I shine brightest dusk to night under lights; also at first light."
John Dory,Always around daytime; dawn on reefs/wrecks. Swipe right if you’ve got livebaits/squid; predator on small fish..
Little Tunny,I’m most active first light and late afternoon; active whenever bait showers on the surface. Feed me fast metals and we’re a match.
Mackerel,I’m most active daylight when shoals are in; dawn/evening peaks in summer. Feed me feathers/sabiki and we’re a match.
Megrim,Can’t resist small fish strips and I’m easiest to find daytime drifts.
Parrotfish,"I’m most active daylight; calm, clear days. Feed me shellfish and we’re a match."
Plaice,Always around daylight. Swipe right if you’ve got worms.
Pollack,Always around dawn/dusk; overcast days with lures. Swipe right if you’ve got artificial lures (soft plastics.
Red Mullet,"Always around daytime; dawn on calm, clear days. Swipe right if you’ve got small worms."
Red Seabream,"Into crabs, and I shine brightest daytime."
Saithe (Pollachius virens),Always around dawn/dusk; overcast days fish well with lures. Swipe right if you’ve got metal jigs.
Saithe/Pollock,Always around dawn/dusk; overcast days with lures. Swipe right if you’ve got metals.
Sand Eel,Always around daylight and dusk when shoals move along the beach; night with lights in some harbours. Swipe right if you’ve got tiny sabiki 
Sardine,"Into tiny sabiki; plankton feeder., and I shine brightest 𐄳 (bait fish) night under lights; dawn when bait shoals push in."
Sea Bass,"Into crab, and I shine brightest dawn/dusk; warm months."
Sea Bream (Dorada),Can’t resist crab and I’m easiest to find dawn/dusk; warm months.
Sea Trout,"Into spinners, and I shine brightest dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs."
Small-spotted Catshark,"Into smelly fish/squid baits; scavenger, and I shine brightest night."
Spotted Bass,I’m most active dawn/dusk; warm months and at night over quiet beaches. Feed me crabs and we’re a match.
Sprat,Catch me 𐄳 (bait fish) night under lights; winter harbours. I go wild for very fine sabiki; plankton feeder..
Thornback Ray,I’m most active dusk/night with moving tide. Feed me whole squid and we’re a match.
Tub Gurnard,I’m most active daytime. Feed me small fish and we’re a match.
Turbot (Small),"Into whole sandeel, and I shine brightest dawn/dusk drifts over sandbanks."
Whiting,Can’t resist small strips of mackerel/squid and I’m easiest to find night & low‑light; peaks in colder months inshore.
Wrasse (various),"Can’t resist crab and I’m easiest to find daylight, especially flood tide over kelp/rocks."
