cultivar_id,fruit_group,species_slug,cultivar_name,species_scientific,type_label,description_text,synonyms,availability_text,held_in_nfc,images,source_url,source_licence,nfc_id,acc4,flower_10pct_mmdd,flower_full_mmdd,petal_fall_90pct_mmdd,picking_window_text,bloom_week,bloom_band,harvest_band,self_fertile,triploid,pollination_notes,disease_scab,disease_mildew,disease_fire_blight,wet_climate_suitability,drought_suitability,enrichment_sources,trait_size,trait_shape,trait_ribbing,trait_crown,trait_ground_colour,trait_over_colour_amount,trait_over_colour,trait_over_colour_pattern,trait_russet,trait_crunch,trait_flesh_colour,trait_height,trait_width,trait_firmness,trait_skin_colour,trait_juice_colour,trait_weight,trait_stone,trait_flavour,trait_veining,trait_hairiness,trait_bristles
apple-white-transparent,apple,fruit-apple,White Transparent,Malus domestica Borkh.,Culinary / Dessert,"Introduced to Western Europe in the mid 1800s from Russia or the Baltic States. Fruits have white, rather coarse-textured flesh with an acid and a little sweet flavour. Soon becomes woolly and dry.",Alebastrovoe|Belui nalif|Belui naliv|Bely naliv|Belya naliv|Belyi naliv nastoiascii|Biala prozracina|Biali Nalew|Bjalij naliv|Charlottentaler|Charlottenthaler|Clar Alb|de Revel|Durchsichtiger Sommerapfel|Feher Clar|Fransk Gylling|Franzosischer Sommerapfel|Grand Sultan|Grand-Sultan|Gustav I's Munapple|Hvit Astrakan|Hvit Klarann|Hvitt Klarapple|Inflancka|Inflanckie|Jaune Transparente|Jellow Transparent|Klarapfel|Klargylling|Kornapfel|Livlander Klarapfel|Naliv beli|Naliv Belui|Naliv skvoznoi|Naliv Transparent|Nalivnoe beloe|Nalivnoie Beloie|Nalivnoje Beloje|Naliw Bjelyi|Naliwjoje heloje|Oogstappel|Paperovka|Paperuvka|Papierdwka biala|Papierowka biela|Papierowka letnia|Papirovka|Papirowka|Pipierowka letnia|Pipka Alebastrovaya|Polnischer Papierapfel|Pomme d'Aout|Pomme d'Astracan Blanche|Pomme d'Or|Pomme de Revel|Pomme Transparente|Pomme Transparente Blanche|Pomme Transparente Jaune|Prozracinoe beloe|Prusvitne Zlute|Scharlottenthaler Golba|Sen Vitgul Astrakan|Sklenene zlute|Transparent Blanch|Transparent Blanche|Transparent de St. Leger|Transparent de Zurich|Transparent Jaune|Transparente|Transparente Blanche|Transparente Blanche de St. Leger|Transparente d'Astracan|Transparente d'Ete|Transparente de Moskovie|Transparente de Muscovie d'EtT|Transparente de Saint-Leger|Transparente de St. Leger|Transparente de Zurich|Transparente Jaune|Vinapple|Vitt Klarapple|Weisser Klarapfel|Weisser Transparent|Weisser Transparentapfel|Weisser Transparente|White Transparente|Yellow Transparent|Yellow Transparente,Material available from the National Fruit Collection. Mother to: Milton Early McIntosh Wrixparent Father to: Lodi Accession No. 2000 - 096 fingerprint check_circle Accession name White Transparent,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=6741&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),6741.0,,05-06,05-14,,Late July,20.0,,,,,,,,,,,,medium,Truncate conical,weak-medium,medium,Whitish yellow,absent,,,very low,crisp,White,,,,,,,,,,,
apple-gala,apple,fruit-apple,Gala,Malus domestica Borkh.,Dessert,"Raised in about 1934 by J.H.Kidd at Greytown Wairarapa, New Zealand. It was named in 1965. Fruits have firm, crisp, fine-textured, juicy flesh with a sweet and good aromatic flavour.",,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=2183&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),2183.0,,04-30,05-08,,Early October,19.0,,,,,,,,,,,,medium,Globose conical,weak-medium,medium,Yellow,medium,Orange,striped/mottled,low,crisp,Yellowish,59.79 mm,65.08 mm,,,,,,,,,
apple-fuji,apple,fruit-apple,Fuji,Malus domestica Borkh.,Dessert,"Raised in 1939 by H. Niitsu at the Horticultural Research Station, Nakahara, Japan. It was named in 1962. Fruits have crisp, juicy flesh with a slightly subacid flavour. Fruits often fail to mature fully in the UK.",Fuji INRA Type4 - Nagafu(No2) INFEL 6671,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=2166&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),2166.0,,05-12,05-19,,Late October,20.0,,,,,,,,,,,,medium,Ellipsoid,weak-medium,,Green yellow,,Orange,striped,very low,crisp,,58.50 mm,62.00 mm,,,,,,,,,
apple-honeycrisp,apple,fruit-apple,Honeycrisp,Malus domestica Borkh.,Dessert,"A very crisp, juicy apple with a sweet flavour and light acidity. Popular for fresh eating; can be slow to colour in cooler sites.",Honeycrisp|Honey Crisp,Commonly sold for home orchards/gardens in Europe (nursery stock).,False,,https://en.wikipedia.org/wiki/Honeycrisp,CC BY-SA 4.0 (Wikipedia); summary written for this dataset.,,,,,,September–October,,,,,,,,,,,,Wikipedia,,,,,,,,,,,,,,,,,,,,,,
apple-delicious,apple,fruit-apple,Delicious,Malus domestica Borkh.,Dessert,"An American apple discovered in about 1880 growing as a shoot from a rootstock by J. Hiatt, near Peru, Iowa. It was introduced by Stark Brothers in 1895. Fruits have very firm, very sweet, juicy flesh with a highly aromatic flavour. Skin is very tough. Fruits have much better flavour when grown in climates with good temperature and light conditions.",Cervena prevazhodna|Delicious rosso|Hawkeye|Piros Delicious|Prevoshodnoe krasnoe|Red Delicious|Stark Delicious,Not currently held in the National Fruit Collection. Father to: Fuji Kidd's Orange Red Fukunishiki Orleans Medina Jonadel Empire Chieftain Regent Legana Kinrei Sweet Delicious Murasaki New Fuji Sports: Idaho Delicious Oregon Spur Starkspur Supreme Richared Delicious Starking Starkrimson Delicious Wellspur Delicious,False,,https://www.nationalfruitcollection.org.uk/full2.php?id=1524&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1524.0,,05-12,05-20,,Mid October,20.0,,,,,,,,,,,,medium,Truncate conical,strong,,Green yellow,,Red,striped,,crisp,Cream,58.00 mm,64.00 mm,firm,,,,,,,,
apple-golden-delicious,apple,fruit-apple,Golden Delicious,Malus domestica Borkh.,Dessert,"A chance seedling found in 1890 by A.H. Mullins, Clay County, West Virginia, USA. It was introduced in 1914 by Stark Brothers. Fruits have crisp, sweet, juicy flesh with a good aromatic flavour.",Arany delicious|Delicios auriu|Stark Golden Delicious|Yellow Delicious|Zlatna prevazhodna|Zolotoe prevoshodnoe,Material available from the National Fruit Collection. Mother to: Telstar Freyberg Korei Golden Melon Redgold Shinsei Mutsu Jonagold Odin Skinlite Magnolia Gold Sungold Ozark Gold Arlet Elstar Dorsett Golden Dukat Spur Sinta Criterion Kinrei Dukat Jonagored Supra Goro Goldjon Honeygold Priolov Delises Tsugaru Chehalis Cloden Nugget Charden Kougetsu Father to: Imperial Gala Spencer Ivette Shin Indo Horei Spigold Rubin Hatsuaki Gala Greensleeves Summerland Ingol Sports: Golden Delicious Horst No.2 Doud Golden Delicious Starkspur Golden Delicious Golden Auvilspur Lysgolden Clear Gold Goldensheen Goldspur Courtagold Ed Gould Golden Elbee Golden Morspur Lemon Pippin Merrigold Penco Smoothee Testerspur Golden Delicious,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=2335&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),2335.0,,05-11,05-19,,Late October,20.0,,,,,,,,,,,,medium,Globose conical,weak-medium,medium,Yellow,,Orange,,low,crisp,Yellowish,67.00 mm,70.00 mm,,,,,,,,,
apple-granny-smith,apple,fruit-apple,Granny Smith,Malus domestica Borkh.,Dessert,"Raised by Mrs Thomas Smith, Ryde, New South Wales, Australia. Trees were known to be fruiting in 1868. Mrs Smith was born in Peasmarsh, Sussex in 1800 and emigrated to Australia in 1838. Fruits have firm, rather coarse-textured, juicy flesh with a subacid and refreshing flavour.",,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=2439&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),2439.0,,05-10,05-18,,Mid October,20.0,,,,,,,,,,,,large,Globose conical,weak,weak-medium,Whitish green,very low,Red,mottled/washed out,low,crisp,Greenish,69.58 mm,72.14 mm,firm-very firm,,,,,,,,
apple-braeburn,apple,fruit-apple,Braeburn,Malus domestica Borkh.,Dessert,"Discovered on the property of O.Moran, Waiwhero, Upper Moutere, New Zealand and was first grown commercially by William Bros. at Braeburn orchard, Upper Moutere in 1952. I Fruits have crisp, firm flesh with a perfumed flavour, although fruits usually fail to mature fully in the U.K.",Breaburn,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=711&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),711.0,,05-18,05-26,,Late October,21.0,,,,,,,,,,,,medium,Broad globose conical,medium,medium-strong,Green yellow,medium,Orange,striped/solid flush,low,crisp,Cream,55.43 mm,67.64 mm,,,,,,,,,
apple-jonagold,apple,fruit-apple,Jonagold,Malus domestica Borkh.,Dessert,"Triploid.Raised in 1943 at the New York State Agricultural Experiment Station, Geneva, New York, USA. It was introduced in 1968. Fruits have creamy white, fine-textured, juicy flesh with a sweet and good rich flavour.",,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=3065&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),3065.0,,05-13,05-21,,Mid October,21.0,,,,True,,,,,,,,large,Globose,weak-medium,weak,Whitish yellow,medium,Orange,striped/mottled,low,crisp,Yellowish,70.17 mm,78.18 mm,,,,,,,,,
apple-idared,apple,fruit-apple,Idared,Malus domestica Borkh.,Dessert,"Raised by Leif Verner at Idaho Agricultural Experiment Station, Moscow, Idaho, USA. It was introduced in 1942. Fruits have white, tinged green, firm, crisp, fine-textured flesh with a sweet and pleasant vinous flavour.",,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=2894&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),2894.0,,05-07,05-15,,Early October,20.0,,,,,,,,,,,,large,Flat,medium,,Yellow,,Red,,,,White,64.50 mm,79.00 mm,,,,,,,,,
