Species;Tight Playful Bio
Ballan Wrasse;Catch me during the day, especially on a flooding tide. Always hungry — swipe right if you’ve got crabs.
Black Seabream;Catch me at dawn/daylight. Always hungry — swipe right if you’ve got shellfish.
Brill;Find me on the prowl at dawn/dusk drifts over sandbanks and edges. Love a moonlit dinner. Just add whole sandeel.
Cod (Coastal);"Catch me at low light and night; autumn–winter inshore peaks. Bring lug/ragworm and I’m yours."
Common Cuttlefish;"Catch me at night with lights; spring runs in many ports. Always hungry — swipe right if you’ve got squid/cuttle jigs."
Common Ling;"Catch me at dusk and dark; year-round over rough ground. Big on group dates, especially if you’ve got large fish baits."
Common Octopus;"Catch me at night and low light; autumn–winter peaks in many areas. Egi-style octopus jigs and a tide change is enough."
Common Squid;"Catch me at night with lights; peaks on dusk and first dark, autumn–winter many areas. Best with egi jigs."
Conger Eel;"Catch me at night; over low‑light periods year‑round. Whole fish/squid and a tide change and I’m all yours hun."
Cuckoo Wrasse;"Love a bit of sunlight; over broken ground with kelp and boulders. Swipe right if you’ve got small crab and prawn baits."
Dab;Love a bit of sunlight. Big on group dates, especially if you’ve got a small worm.
Dentex;Catch me daytime. Let’s keep it casual — lively fish dinner and a tide change is enough.
Dover Sole;Catch me at night/dusk. Always hungry — swipe right if you’ve got worms.
Flathead Grey Mullet;"Catch me at dawn/evening; calm days. I love a good chase, especially if it ends with bread."
Flounder;"Catch me at dusk/night and daylight in murky water; autumn–winter strong. Worms and a tide change gets me."
Garfish (Needlefish);"Love a bit of sunlight & dusk in spring runs; also at night under lights. Not into small talk, only small surface lures/float baits."
Gilthead Seabream;Find me on the prowl at dawn/dusk when it’s warm. I’m always hungry — swipe right if you’ve got crabs.
Greater Amberjack;"Catch me at dawn and late afternoon; summer into autumn. Into long nights and short flings with livebaits."
Greater Weever;"Catch me at sunny calm days over warm sand; also dusk. Partial to small worms."
Grey Mullet;"Catch me at evening/dawn; sight‑feeding in daylight on calm days. Bread course works every time."
Haddock;"Love a bit of sunlight and dusk; autumn–spring are strongest inshore. Big on group dates, especially if you’ve got a nice worm."
Herring;"Catch me at 𐄳 (bait fish) dusk/night; winter–spring runs in many areas. Really into fishnets."
Horse Mackerel;"Catch me at dusk to night under lights; also at first light. Fine fishnets and a tide change is enough."
John Dory;Catch me during the day, dawn on reefs/wrecks. Bonus points if you bring something lively.
Little Tunny;"Catch me at first light and late afternoon; active whenever bait showers on the surface. Bring fancy metals and I’m yours."
Mackerel;"Love a bit of sunlight when shoals are in; dawn/evening peaks in summer. Sucker for fishnets."
Megrim;Catch me on daytime drifts. Love a moonlit dinner. Just add small fish strips.
Parrotfish;"Love a bit of sunlight; calm, clear days. Let’s keep it casual — shellfish and a tide change is enough."
Plaice;Love a bit of sunlight. Into long nights and short flings — worms works every time.
Pollack;"Find me on the prowl at dawn/dusk; overcast days with lures. Lure me with soft plastic and I’m yours."
Red Mullet;"Catch me at daytime; dawn on calm, clear days. Let’s keep it casual — small worms and a tide change is enough."
Red Seabream;Catch me at daytime. Always hungry — swipe right if you’ve got crabs.
Saithe (Pollachius virens);"Find me on the prowl at dawn/dusk; overcast days fish well with lures. Always hungry — swipe right if you’ve got metal jigs."
Saithe/Pollock;"Find me on the prowl at dawn/dusk; overcast days with lures. Big on group dates, especially if you’ve got fancy metals."
Sand Eel;"Love a bit of sunlight and dusk when shoals move along the beach; night with lights in some harbours. Show me your fishnets."
Sardine;"I shine at night under lights; dawn when bait shoals push in. Into fishnets more than big rods."
Sea Bass;"Find me on the prowl at dawn/dusk; warm months. I love a good chase, especially if it ends with crab."
Sea Bream (Dorada);"Find me on the prowl at dawn/dusk; warm months. Not into small talk, only good crab."
Sea Trout;"Find me on the prowl at dawn/dusk; at night in clear, calm conditions. Give me a spin or fly me to the moon."
Small-spotted Catshark;This cat is a real dog. I live for the night. Love a moonlit dinner. Am I basic if I admit I just love smelly fish/squid baits?
Spotted Bass;"Find me on the prowl at dawn/dusk; warm months and at night over quiet beaches. If you’ve got crabs, I’m yours."
Sprat;Catch me at night under lights in winter harbours. Fishnets not big rods please and I’m yours.
Thornback Ray;Catch me at dusk/night with moving tide. Catch me if you can. Best with whole squid.
Tub Gurnard;Catch me during the daytime. I love small fish.
Turbot (Small);Find me on the prowl at dawn/dusk drifts over sandbanks. Whole sandeel gets me every time.
Whiting;"Catch me at night & low‑light; peaks in colder months inshore. Not into small talk, only small strips of mackerel/squid."
Wrasse (various);Love a bit of sunlight, especially flood tide over kelp/rocks. I love a good chase, especially if it ends with crab.
